,,bath_std_41_80,bath_std_41_80,bath_sixph_41_80,bath_sixph_41_80,bath_mad_41_80,bath_mad_41_80,bath_diff_std_41_80,bath_diff_std_41_80,bath_p90_p10_41_80,bath_p90_p10_41_80,bath_range_41_80,bath_range_41_80
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
class_id,class_name,,,,,,,,,,,,
1,muł,0.052396,0.008252,0.196646,0.035617,0.041071,0.005965,0.052847,0.009826,0.123672,0.019709,0.246746,0.063103
2,muł/piasek/odpady,0.03127,0.006206,0.11825,0.024545,0.023863,0.003929,0.036141,0.008591,0.072512,0.012499,0.153415,0.049035
3,piasek drobnoziarnisty,0.034316,0.008963,0.13105,0.034936,0.025655,0.005062,0.040983,0.011774,0.075001,0.014644,0.177209,0.069351
4,piasek gruboziarnisty,0.058589,0.032928,0.200886,0.096998,0.048881,0.030169,0.036241,0.009615,0.147185,0.086151,0.233171,0.105679
