,,mean_80_100,mean_80_100,drop_80_100,drop_80_100,glcm_entropy_91_100,glcm_entropy_91_100,glcm_homogeneity_91_100,glcm_homogeneity_91_100,std_80_100,std_80_100,left_right_diff,left_right_diff,edge_center_diff,edge_center_diff
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
class_id,class_name,,,,,,,,,,,,,,
1,muł,-33.288095,0.870297,7.17,2.978059,0.58037,0.032979,0.848005,0.022268,2.712887,0.46137,3.58575,1.469069,-15.284055,1.00506
2,muł/piasek/odpady,-25.160238,0.901815,0.889,4.513527,0.521607,0.132416,0.86503,0.046372,3.378455,0.607458,0.136,1.125082,-3.920312,1.036167
3,piasek drobnoziarnisty,-23.676048,1.535095,6.627,6.052573,0.772714,0.075362,0.77428,0.02179,4.26292,0.747568,1.9861,1.597612,-6.762652,1.566335
4,piasek gruboziarnisty,-24.341381,1.134711,9.639,6.088705,0.703358,0.034451,0.767984,0.015785,4.580303,0.984773,3.2483,1.722842,-5.700019,1.36014
